track,order,length
I Am All That I Need / Arroyo Seco / Thumbprint Scar,1,385
"Cassius,-",2,290
"- Naiads, Cassadies",3,191
Kept Woman,4,235
Third Of May / Odaigahara,5,528
"If You Need To, Keep Time On Me",6,211
Mearcstapa,7,250
On Another Ocean (January / June),8,263
Fool’s Errand,9,288
I Should See Memphis,10,284
Crack-Up,11,384
